Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Varsims,com.bina.varsim.tools.evaluation,SAMCompareTest,firstSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,SAMCompareTest,oneFalsePositiveSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,SAMCompareTest,oneFalsePositiveOneTruePositiveMultiAlignmentSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,SAMCompareTest,firstSAMCompareLongReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,firstSimpleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,genotypeTest1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,genotypeTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,differentPaddingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest4SNPvsMNP,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest5SNPvsMNPnoGT,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,missingGTSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,duplicateLociSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationOnIdenticalBalancedNonreciprocalTranslocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,insertionVsInsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentInsertionsFailWithSmallWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentInsertionsSucceedWithLargeWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentDuplicationChromosomes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentDuplicationOrientations,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationNonReciprocalBalancedWithLargeWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceINSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,impreciseDistanceINSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,impreciseDistanceINSTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceINVTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceDELTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceDUPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceTenDUPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,sameLociDifferentInsertSeq,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,sameLociSameInsertSeq,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceMultipleMatchingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceMultipleMatchingTest,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,complexVariantNoPartialMatchingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.evaluation,VCFCompareTest,complexVariantNoPartialMatchingTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools,LiftOverTest,firstSimpleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools,LiftOverTest,tandemDupTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools,LiftOverTest,largeInsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,SNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,MNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,InsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,DeletionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,InversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,DuplicationTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,MixedTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationIntrachromosomalTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationIntrachromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationInterchromosomalTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedReciprocalTranslocationInterchromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterchromosomalWithInversionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationInterHomologousChromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,balancedNonReciprocalTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationInterchromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationInterchromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationIntrachromosomal,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationInterchromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,unbalancedGainTranslocationIntrachromosomalWithInversion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,homDelOverlapOthers,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,hetDelOverlapOthers,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,maleChrXHet,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,cnvTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.tools.simulation,VCF2diploidTest,dupDelTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsims,com.bina.varsim.types,AltTest,breakendTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsims,com.bina.varsim.types,AltTest,altTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Varsims,com.bina.varsim.types,AltTest,altTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.types.variant.alt.Alt.getSymbolicAllele; com.bina.varsim.types.variant.alt.Alt.getSeq; com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.altFactory; com.bina.varsim.types.variant.alt.Alt.getBreakend
Varsims,com.bina.varsim.types,VCFInfoTest,VCFInfoParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Varsims,com.bina.varsim.types.stats,MapRatioRecordSumTest,oneTPTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Varsims,com.bina.varsim.types.stats,MapRatioRecordSumTest,oneTPTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.types.stats.MapRatioRecordSum.toString; com.bina.varsim.types.stats.MapRatioRecordSum.incStat
Varsims,com.bina.varsim.util,VCFparserTest,deletionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsims,com.bina.varsim.util,VCFparserTest,deletionParsingTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.util.VCFparser.processLine; com.bina.varsim.types.variant.alt.Alt.length; com.bina.varsim.types.variant.Variant.getReference; com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.Variant.toString; com.bina.varsim.types.variant.Variant.isPhased
Varsims,com.bina.varsim.util,VCFparserTest,insertionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsims,com.bina.varsim.util,VCFparserTest,insertionParsingTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.util.VCFparser.processLine; com.bina.varsim.types.variant.alt.Alt.length; com.bina.varsim.types.variant.Variant.getReference; com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.Variant.toString; com.bina.varsim.types.variant.Variant.isPhased
Varsims,com.bina.varsim.util,VCFparserTest,homopolymerInsertionParsingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Varsims,com.bina.varsim.util,VCFparserTest,homopolymerInsertionParsingTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.util.VCFparser.processLine; com.bina.varsim.types.variant.alt.Alt.length; com.bina.varsim.types.variant.Variant.getReference; com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.Variant.toString; com.bina.varsim.types.variant.Variant.isPhased
Varsims,com.bina.varsim.util,VCFparserTest,TrimmingTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Varsims,com.bina.varsim.util,VCFparserTest,TrimmingTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.bina.varsim.util.VCFparser.processLine; com.bina.varsim.types.variant.alt.Alt.length; com.bina.varsim.types.variant.Variant.getReference; com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.Variant.toString
